CrimeId,Type,Subtype
55700,ROBBERY,ROBBERY
248406,VEHICLE STOLEN,VEHICLE - STOLEN
391421,THEFT,"THEFT, PERSON"
517898,BURGLARY,BURGLARY
595455,SEXUAL CRIME,OTHER MISCELLANEOUS CRIME
81658,ASSAULT,BATTERY - SIMPLE ASSAULT
554196,MURDER,CRIMINAL HOMICIDE
490444,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
534933,BRANDISH WEAPON,BRANDISH WEAPON
193762,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
895836,BURGLARY,BURGLARY
249473,ASSAULT,INTIMATE PARTNER - AGGRAVATED ASSAULT
698394,THEFT,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
287699,ASSAULT,BATTERY - SIMPLE ASSAULT
370483,VIOLATION OF RESTRAINING ORDER,VIOLATION OF COURT ORDER
356874,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
196814,BURGLARY,BURGLARY FROM VEHICLE
459214,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
413259,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
532668,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
254660,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
628326,CRIMINAL THREATS - NO WEAPON DISPLAYED,CRIMINAL THREATS - NO WEAPON DISPLAYED
935231,VEHICLE STOLEN,VEHICLE - STOLEN
858372,ASSAULT,BATTERY - SIMPLE ASSAULT
468775,ROBBERY,ROBBERY
22805,BRANDISH WEAPON,BRANDISH WEAPON
25633,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
138259,BURGLARY,BURGLARY
330060,BURGLARY,BURGLARY FROM VEHICLE
805212,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
270118,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
246039,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
364449,ROBBERY,ROBBERY
825269,THROWING OBJECT AT MOVING VEHICLE,THROWING OBJECT AT MOVING VEHICLE
820045,VIOLATION OF RESTRAINING ORDER,VIOLATION OF RESTRAINING ORDER
