PoliceStationId,PhoneNumber,Mail,NumCops
1,(213) 858-5478,bwalker@example.com,249
2,(323) 543-8286,susanmoore@example.com,264
3,(424) 718-4684,kelseyrowland@example.com,26
4,(323) 532-4525,mcneiljustin@example.com,190
5,(213) 217-6267,danielshepard@example.net,101
6,(213) 169-6284,porterlinda@example.com,210
7,(310) 249-8293,qferguson@example.net,284
8,(818) 765-7411,holtjames@example.org,279
9,(213) 601-9590,richard75@example.com,225
10,(323) 385-8472,hopkinstracy@example.org,157
11,(424) 363-4673,nathan19@example.net,61
12,(213) 657-6512,angelicatucker@example.net,215
13,(323) 285-9423,johnlucas@example.org,239
14,(818) 139-7583,xsanders@example.com,43
15,(310) 454-8290,joshualuna@example.net,251
16,(310) 631-6336,mitchellkyle@example.com,39
17,(818) 368-8205,andrew98@example.net,73
18,(818) 442-8118,oblack@example.org,29
19,(213) 265-1189,lori71@example.com,184
20,(213) 368-9028,kathypadilla@example.org,74
21,(323) 193-8208,mcdonaldroberto@example.com,129
