VictimId,Age,Gender,Ethnicity
55700,22,M,Black
248406,0,X,Unknown
391421,45,M,White
517898,9,F,White
595455,0,X,Unknown
81658,27,M,Hispanic
554196,17,M,Hispanic
490444,43,M,Unknown
534933,32,F,Black
193762,32,M,White
895836,6,M,Unknown
249473,3,M,Black
698394,0,M,White
287699,37,F,Asian
370483,0,F,Hispanic
356874,44,M,White
196814,49,F,White
459214,24,F,Asian
413259,44,F,Hispanic
532668,19,M,Hispanic
254660,29,F,Other
628326,43,F,Hispanic
935231,0,X,Unknown
858372,36,F,Black
468775,22,M,Black
22805,44,M,Black
25633,46,M,White
138259,36,M,White
330060,99,M,Hispanic
805212,0,M,White
270118,43,M,Hispanic
246039,21,F,Other
364449,31,F,Hispanic
825269,29,M,White
820045,0,M,White
639520,7,M,Hispanic
59565,51,M,Other
169055,3,F,Black
898153,19,M,Hispanic
293844,48,F,Hispanic
796463,69,M,White
185611,41,F,Hispanic
232435,0,X,Unknown
14406,61,M,Black
294883,0,X,Unknown
592884,3,F,White
234939,45,F,Black
694109,61,F,White
943867,19,F,Hispanic
120956,0,X,Unknown
154618,22,F,White
164864,24,F,Black
169853,28,X,Unknown
552519,33,F,Asian
487638,66,F,White
76392,28,M,White
604346,19,F,Hispanic
805261,53,M,Other
290771,0,X,Unknown
906760,0,X,Unknown
51677,73,M,Black
270721,27,F,White
199167,48,M,Hispanic
156490,28,F,Asian
448576,34,F,Black
67552,45,M,Hispanic
945089,11,M,Hispanic
589342,42,F,Hispanic
641743,4,M,Hispanic
262686,61,F,Hispanic
725490,26,F,Black
146154,31,M,Other
599910,23,M,White
872974,55,M,Black
73591,0,X,Unknown
848242,64,M,Black
694953,52,M,Hispanic
792277,0,X,Unknown
200134,39,F,Hispanic
638717,39,M,Black
276114,46,M,White
812136,3,M,Black
519179,6,F,White
812445,0,X,Unknown
551997,31,F,White
395714,53,M,Black
81781,3,M,Hispanic
237494,19,M,Hispanic
377000,12,M,Hispanic
892263,47,M,White
339352,48,F,Hispanic
638934,34,M,Other
825922,37,F,Hispanic
106038,28,F,Black
459305,23,M,Hispanic
804220,5,F,Hispanic
633099,71,M,Other
582991,58,F,Hispanic
556664,0,X,Unknown
215839,0,X,Unknown
457103,33,F,Hispanic
543467,61,F,Hispanic
102224,4,F,Hispanic
859040,42,F,Hispanic
604071,0,X,Unknown
77839,21,F,Hispanic
261101,54,M,Hispanic
38252,49,M,White
865063,43,M,Black
100387,0,X,Unknown
662475,49,F,White
915993,0,X,Unknown
929911,23,F,White
779607,31,F,Black
749879,25,M,Hispanic
271034,43,F,Hispanic
527732,0,M,White
546803,41,M,Black
141223,65,M,White
521023,26,M,White
571408,51,F,Black
68557,34,F,Black
847284,0,X,Unknown
680293,32,F,Hispanic
289023,4,M,Hispanic
94597,0,X,Unknown
723429,21,M,Hispanic
544687,39,F,Hispanic
552184,0,X,Unknown
150332,54,F,Black
57324,47,M,White
943604,39,F,Other
142132,0,X,Unknown
361137,32,M,Black
80934,3,F,Hispanic
404633,64,M,White
91788,56,M,White
208204,0,X,Unknown
65312,38,F,Hispanic
944422,19,F,Black
908366,0,X,Unknown
690950,39,M,Hispanic
182634,35,M,White
571340,57,M,Hispanic
136032,3,M,Black
704650,54,F,Hispanic
952393,0,X,Unknown
497321,49,M,White
137640,62,M,Hispanic
144047,35,F,Black
484110,0,X,Unknown
213119,37,M,White
62852,35,F,Black
304014,0,X,Unknown
354391,0,X,Unknown
225641,51,M,White
697436,0,X,Unknown
580963,52,M,Hispanic
466744,3,F,Hispanic
277580,28,M,White
518067,22,F,Hispanic
639664,22,M,Other
59209,44,F,Black
817900,46,M,Other
698038,4,F,Black
939784,31,F,Hispanic
869577,0,X,Unknown
127889,31,M,Asian
786936,31,F,Black
868974,46,M,Hispanic
435340,25,F,Asian
188926,24,M,White
349968,55,F,Black
720613,0,X,Unknown
740879,0,X,Unknown
961458,75,F,Asian
447886,39,M,White
157647,44,M,White
90932,0,X,Unknown
473040,0,X,Unknown
923785,0,X,Unknown
940459,46,F,Hispanic
650637,53,M,Hispanic
624638,32,F,American Indian/Alaskan Native
302950,22,M,White
86722,68,M,Black
923563,0,X,Unknown
357720,26,X,Hispanic
214825,31,F,Hispanic
800965,4,M,Black
71116,35,M,Other
621341,0,X,Unknown
64668,0,X,Unknown
73558,55,M,White
80155,36,M,Black
583089,4,F,White
341453,61,M,White
595581,0,X,Unknown
902573,0,X,Unknown
957878,0,X,Unknown
307865,36,F,Black
350248,31,M,White
438582,4,F,Other
409294,33,F,Black
661070,0,M,Other
956901,48,F,Black
471859,37,M,White
26175,59,F,Asian
303040,31,F,Black
776025,23,F,Hispanic
437720,25,F,Hispanic
276385,71,F,White
961017,0,X,Unknown
333571,37,M,Hispanic
510146,38,M,Hispanic
485491,35,M,Hispanic
816032,18,M,Hispanic
430177,0,X,Unknown
63528,55,M,Unknown
185438,68,M,Asian
502521,32,F,Hispanic
289991,15,F,Hispanic
201177,4,M,Hispanic
86698,72,F,White
674666,68,F,Hispanic
903429,27,M,Hispanic
857180,52,F,Hispanic
619400,42,M,White
62522,48,F,Other
585901,17,F,Hispanic
237089,46,X,Unknown
670044,0,X,Unknown
806204,5,F,Hispanic
335174,33,M,Other
866694,0,X,Unknown
719841,59,F,Black
412080,28,F,White
586974,53,F,Hispanic
116807,55,F,Black
385497,45,F,Other
891001,28,M,Asian
738993,33,F,White
215352,2,M,White
295145,52,M,Hispanic
396517,0,X,Unknown
631722,58,M,Black
129033,0,X,Unknown
755200,46,F,Hispanic
533190,33,M,White
916401,76,F,Hispanic
313059,0,X,Unknown
402597,18,M,White
164973,0,X,Unknown
244808,0,X,Unknown
53180,34,M,White
777731,0,X,Unknown
876717,0,X,Unknown
806557,0,X,Unknown
295173,54,F,Other
616038,23,M,Asian
90827,27,F,Black
850566,21,F,Hispanic
394079,41,F,Hispanic
628894,0,M,Hispanic
693919,79,F,White
354407,12,F,Black
518553,0,X,Unknown
272372,59,M,Pacific Islander
744122,0,X,Unknown
726029,58,M,White
804055,46,M,Other
180023,0,M,Other
122002,57,M,Other
678042,66,F,White
676149,21,M,Hispanic
84114,17,M,Other
812103,0,F,Hispanic
466246,42,M,White
697949,0,X,Unknown
233687,34,F,Hispanic
492851,33,F,Black
315461,25,M,White
799558,18,F,White
621901,27,X,Asian
276321,44,M,Hispanic
742732,28,M,Hispanic
414718,36,M,Hispanic
288755,0,F,White
81115,41,F,Hispanic
472720,64,M,Black
586727,0,M,Other
549590,3,M,White
432485,52,F,Hispanic
41408,47,M,Hispanic
174654,0,X,Unknown
771634,42,F,White
894890,0,X,Unknown
864150,49,M,White
510268,78,F,White
943306,0,X,Unknown
48789,0,X,Unknown
433963,0,X,Unknown
287020,69,M,Other
348951,0,X,Unknown
178333,51,F,Black
781866,17,F,Hispanic
545979,49,M,Hispanic
556857,63,M,White
633985,51,F,White
685647,38,F,Black
23282,6,F,Hispanic
102594,66,M,White
196883,21,M,Hispanic
700323,22,M,Hispanic
150421,27,M,Black
118961,34,F,Hispanic
842332,0,X,Unknown
750543,3,M,Hispanic
465278,54,M,White
943883,8,M,Asian
947452,49,F,Black
112536,45,F,Black
369787,19,F,White
920575,0,X,Unknown
884093,51,M,White
377290,43,M,White
446052,28,M,Black
433239,36,F,Hispanic
930006,0,X,Unknown
551296,34,F,Black
863971,34,F,Hispanic
845914,43,F,White
70532,49,M,White
465956,42,F,Hispanic
287064,4,F,White
458270,2,M,Hispanic
369244,61,M,White
183344,0,X,Unknown
611475,46,M,Asian
302927,57,F,Black
285888,3,M,White
868004,33,F,Hispanic
925996,5,M,White
751409,33,M,Hispanic
173482,33,F,White
133949,0,M,Other
587131,46,F,Other
908088,42,M,Hispanic
338822,42,F,White
725830,24,F,Black
410913,31,F,White
470033,35,M,Unknown
186016,72,F,Black
225540,45,F,Other
152262,42,F,White
349871,42,F,White
682301,32,F,Black
297786,0,X,Unknown
807009,44,M,Hispanic
395629,78,F,Hispanic
764107,0,X,Unknown
846701,45,M,Hispanic
698919,0,M,Other
397903,0,X,Unknown
644869,0,X,Unknown
438333,0,X,Unknown
168310,0,X,Unknown
338364,41,M,White
613114,0,X,Unknown
126517,55,M,White
728203,17,F,Black
305485,0,M,Other
4994,4,F,Hispanic
422960,34,F,Black
72468,42,F,Hispanic
702958,0,X,Unknown
376258,0,X,Unknown
176957,4,F,Hispanic
292633,55,F,Black
357780,15,F,Black
942740,0,X,Unknown
774971,13,M,Hispanic
754264,36,M,Black
716546,34,F,Hispanic
70756,0,M,White
576395,58,M,White
392480,0,X,Unknown
411916,19,M,Hispanic
823517,0,X,Unknown
514488,66,M,White
420854,77,M,Black
107834,0,X,Unknown
615049,52,F,White
411982,43,M,White
333323,3,M,Hispanic
133815,43,M,White
829179,0,X,Unknown
354438,2,X,Unknown
476613,51,F,Black
785099,0,X,Unknown
288847,0,X,Unknown
814693,24,M,Hispanic
106631,13,F,Hispanic
308427,44,F,Unknown
162450,6,M,White
938712,0,X,Unknown
726425,44,F,Hispanic
478432,23,F,Black
12460,58,M,White
47660,25,F,Black
452722,52,F,Hispanic
314036,44,F,White
589590,71,F,Black
856834,34,F,White
