Weapon,CrimeId
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",55700
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",391421
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",81658
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",287699
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",356874
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",254660
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",858372
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",25633
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",966008
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",796463
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",943867
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",604346
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",156490
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",973284
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",67552
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",589342
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",641743
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",146154
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",872974
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",694953
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",200134
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",973224
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",237494
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",377000
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",825922
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",106038
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",459305
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",543467
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",102224
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",77839
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",779607
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",142132
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",944422
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",62852
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",786936
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",940459
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",970770
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",437720
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",185438
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",502521
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",201177
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",674666
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",903429
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",806204
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",53180
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",295173
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",90827
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",84114
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",812103
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",742732
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",81115
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",472720
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",432485
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",864150
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",633985
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",196883
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",943883
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",369787
